delay_steps,time,trace_distance_to_reference,purity,entropy,source_norm,effective_source_norm,curvature_norm,buffer_advance_count,history_length
0,0.0,0.9921567416492243,0.9999999999999999,1.8037544908396818e-09,22.96630432121373,22.96630432121373,46.870008818803484,0,0
0,0.05,0.9843892789263715,0.01654093931873615,4.130218621517335,22.966304321213745,22.966304321213745,46.87000881880351,1,1
0,0.1,0.9843751333339575,0.015633533554560854,4.158610067593048,22.966304321213745,22.966304321213745,46.87000881880351,2,2
0,0.15000000000000002,0.9843750012716922,0.01562508138831332,4.158880478938921,22.966304321213745,22.966304321213745,46.87000881880351,3,3
0,0.2,0.9843750000121314,0.015625000776409888,4.158883058514556,22.966304321213745,22.966304321213745,46.87000881880351,4,4
0,0.25,0.9843750000001159,0.015625000007406638,4.158883083122659,22.966304321213745,22.966304321213745,46.87000881880351,5,5
0,0.30000000000000004,0.9843750000000012,0.015625000000070666,4.158883083357411,22.966304321213745,22.966304321213745,46.87000881880351,6,6
0,0.35000000000000003,0.984375,0.015625000000000673,4.158883083359651,22.966304321213745,22.966304321213745,46.87000881880351,7,7
0,0.4,0.984375,0.015625000000000007,4.1588830833596715,22.966304321213745,22.966304321213745,46.87000881880351,8,8
0,0.45,0.984375,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,9,8
0,0.5,0.984375,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,10,8
1,0.0,0.9921567416492243,0.9999999999999999,1.8037544908396818e-09,22.96630432121373,22.96630432121373,46.870008818803484,0,0
1,0.05,0.9843892789263715,0.01654093931873615,4.130218621517335,22.966304321213745,22.96630432121373,46.870008818803484,1,1
1,0.1,0.9843751333339574,0.015633533554560854,4.158610067593049,22.966304321213745,22.966304321213745,46.87000881880351,2,2
1,0.15000000000000002,0.9843750012716921,0.015625081388313318,4.158880478938921,22.966304321213745,22.966304321213745,46.87000881880351,3,3
1,0.2,0.9843750000121314,0.015625000776409888,4.158883058514556,22.966304321213745,22.966304321213745,46.87000881880351,4,4
1,0.25,0.9843750000001159,0.015625000007406638,4.158883083122659,22.966304321213745,22.966304321213745,46.87000881880351,5,5
1,0.30000000000000004,0.9843750000000011,0.015625000000070666,4.158883083357411,22.966304321213745,22.966304321213745,46.87000881880351,6,6
1,0.35000000000000003,0.9843750000000002,0.015625000000000673,4.158883083359651,22.966304321213745,22.966304321213745,46.87000881880351,7,7
1,0.4,0.9843750000000001,0.015625000000000007,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,8,8
1,0.45,0.984375,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,9,8
1,0.5,0.9843750000000001,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,10,8
2,0.0,0.9921567416492243,0.9999999999999999,1.8037544908396818e-09,22.96630432121373,22.96630432121373,46.870008818803484,0,0
2,0.05,0.9843892789263715,0.01654093931873615,4.130218621517335,22.966304321213745,22.96630432121373,46.870008818803484,1,1
2,0.1,0.9843751333339574,0.015633533554560854,4.158610067593049,22.966304321213745,22.96630432121373,46.870008818803484,2,2
2,0.15000000000000002,0.9843750012716921,0.015625081388313315,4.158880478938922,22.966304321213745,22.966304321213745,46.87000881880351,3,3
2,0.2,0.9843750000121314,0.015625000776409888,4.158883058514556,22.966304321213745,22.966304321213745,46.87000881880351,4,4
2,0.25,0.9843750000001159,0.015625000007406638,4.158883083122659,22.966304321213745,22.966304321213745,46.87000881880351,5,5
2,0.30000000000000004,0.9843750000000011,0.015625000000070666,4.158883083357411,22.966304321213745,22.966304321213745,46.87000881880351,6,6
2,0.35000000000000003,0.9843749999999999,0.015625000000000673,4.158883083359651,22.966304321213745,22.966304321213745,46.87000881880351,7,7
2,0.4,0.984375,0.015625000000000007,4.1588830833596715,22.966304321213745,22.966304321213745,46.87000881880351,8,8
2,0.45,0.9843750000000002,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,9,8
2,0.5,0.9843750000000001,0.015625000000000003,4.1588830833596715,22.966304321213745,22.966304321213745,46.87000881880351,10,8
5,0.0,0.9921567416492243,0.9999999999999999,1.8037544908396818e-09,22.96630432121373,22.96630432121373,46.870008818803484,0,0
5,0.05,0.9843892789263715,0.01654093931873615,4.130218621517335,22.966304321213745,22.96630432121373,46.870008818803484,1,1
5,0.1,0.9843751333339574,0.015633533554560854,4.158610067593049,22.966304321213745,22.96630432121373,46.870008818803484,2,2
5,0.15000000000000002,0.9843750012716921,0.015625081388313315,4.158880478938922,22.966304321213745,22.96630432121373,46.870008818803484,3,3
5,0.2,0.9843750000121314,0.01562500077640988,4.158883058514556,22.966304321213745,22.96630432121373,46.870008818803484,4,4
5,0.25,0.9843750000001158,0.01562500000740663,4.158883083122659,22.966304321213745,22.96630432121373,46.870008818803484,5,5
5,0.30000000000000004,0.9843750000000011,0.015625000000070666,4.158883083357411,22.966304321213745,22.966304321213745,46.87000881880351,6,6
5,0.35000000000000003,0.984375,0.015625000000000666,4.158883083359651,22.966304321213745,22.966304321213745,46.87000881880351,7,7
5,0.4,0.9843749999999998,0.015625000000000007,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,8,8
5,0.45,0.984375,0.015625000000000003,4.158883083359672,22.966304321213745,22.966304321213745,46.87000881880351,9,8
5,0.5,0.9843750000000001,0.015625000000000003,4.1588830833596715,22.966304321213745,22.966304321213745,46.87000881880351,10,8
